ano,sigla_uf,id_municipio,grupo,quantidade_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_morte,quantidade_mortes_policiais_confronto,quantidade_mortes_intervencao_policial,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_mortes_violentas_intencionais,quantidade_feminicidio,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_estupro,quantidade_roubo_veiculos,quantidade_furto_veiculos,quantidade_roubo_furto_veiculos,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_posse_ilegal_arma_de_fogo,quantidade_porte_ilegal_arma_de_fogo,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_trafico_entorpecente,quantidade_posse_uso_entorpecente,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_morte_policiais_militares_fora_de_servico
2017,AM,1302603,Grupo 2,961,63,28,5,31,0,21,3,7,1083,,,865,4597,3542,8139,2.0,,,,,,0,1,0,4
2017,AP,1600303,Grupo 2,251,11,7,1,44,0,44,0,0,313,,,306,265,717,982,14.0,,,,,,0,0,0,1
2017,BA,2927408,Grupo 2,1326,36,13,6,146,10,134,0,2,1521,,,601,5735,1567,7302,9.0,,,,,,0,1,2,3
2017,DF,5300108,Grupo 2,508,36,5,5,7,0,2,0,5,556,,,889,4851,5726,10577,1.0,,,,,,0,0,1,4
2017,MG,3106200,Grupo 2,549,10,13,0,37,1,25,3,8,572,,,617,4491,6435,10926,6.0,,,,,,0,0,0,0
2017,PR,4106902,Grupo 2,371,11,9,1,73,0,65,,8,464,,,711,3959,5586,9545,15.0,,,,,,0,1,0,0
2017,RS,4314902,Grupo 2,670,12,5,0,36,0,26,2,8,687,,,689,8429,3109,11538,5.0,,,,,,0,0,0,0
2017,SP,3550308,Grupo 2,777,118,3,32,447,17,281,11,138,1345,,,2546,32434,42547,74981,33.0,,,,,,1,6,2,23
2017,MS,5002704,Grupo 3,112,5,1,0,24,0,22,1,1,118,,,651,460,1912,2372,20.0,,,,,,0,0,0,0
2017,RO,1100205,Grupo 3,152,4,2,2,4,,3,0,1,158,,,355,1478,1860,3338,2.0,,,,,,0,0,1,1
2017,SE,2800308,Grupo 3,327,9,1,3,27,,,,,364,,,161,1058,457,1515,7.0,,,,,,0,0,1,2
2017,RR,1400100,Grupo 4,118,6,4,1,7,0,7,0,0,135,,,185,352,758,1110,5.0,,,,,,0,0,0,1
2017,TO,1721000,Grupo 4,77,2,1,0,0,0,0,0,0,80,,,84,137,676,813,,,,,,,0,0,0,0
2018,AC,1200401,,218,9,0,,,,,,,227,5,,48,,,,,1432,,1432,1040,,,,,
2018,AL,2704302,,439,16,1,1,,,,,,456,7,738,213,1009,998,2007,,144,394,538,880,237,,,,
2018,AM,1302603,,892,52,24,3,40,,,,,1008,3,2370,988,3086,2257,5343,3.0,616,371,987,2438,653,,,,
2018,AP,1600303,,274,12,28,5,34,,,,,348,2,,231,338,639,977,9.0,,196,196,260,99,,,,
2018,BA,2927408,,1115,16,13,8,99,,,,,1243,7,2884,427,5388,1406,6794,7.0,30,185,215,1847,1314,,,,
2018,CE,2304400,,1445,13,19,8,63,,,,,1540,5,2471,478,5033,2345,7378,4.0,371,746,1117,3083,1167,,,,
2018,DF,5300108,,459,33,8,2,5,,,,,505,28,15368,789,3993,5300,9293,0.0,,,1233,2814,5603,,,,
2018,ES,3205309,,76,2,2,0,4,,,,,84,2,100,86,336,639,975,4.0,13,119,132,452,257,,,,
2018,GO,5208707,,409,20,28,,,,,,,457,11,3940,122,3188,3403,6591,,179,,179,1152,9005,,,,
2018,MA,2111300,,256,18,2,0,21,,,,,297,,,209,982,735,1717,7.0,,326,326,993,584,,,,
2018,MG,3106200,,414,8,9,0,24,,,,,455,7,7862,613,2601,5477,8078,5.0,230,304,534,5807,2643,,,,
2018,MS,5002704,,121,12,0,1,21,,,,,154,9,1513,659,400,2224,2624,13.0,120,134,254,1050,505,,,,
2018,MT,5103403,,114,10,1,1,12,,,,,137,6,,313,1167,778,1945,8.0,60,120,180,671,508,,,,
2018,PA,1501402,,846,60,5,14,132,,,,,1043,8,2015,552,1710,1158,2868,12.0,27,131,158,887,334,,,,
2018,PB,2507507,,238,8,1,3,11,,,,,258,5,,35,1024,436,1460,4.0,,,,252,152,,,,
2018,PE,2611606,,594,7,0,,12,,,,,613,6,1818,465,3316,1307,4623,1.0,98,217,315,1395,744,,,,
2018,PI,2211001,,300,22,2,1,13,,,,,337,9,,224,2977,2024,5001,3.0,,,,409,174,,,,
2018,PR,4106902,,298,15,9,3,81,,,,,403,7,1990,797,2853,4860,7713,20.0,,,476,1532,3530,,,,
2018,RJ,3304557,,1338,66,25,41,558,,,,,1987,22,9063,1642,24798,7050,31848,28.0,,,936,1998,1204,,,,
2018,RN,2408102,,330,20,61,4,35,,,,,446,6,,114,3433,594,4027,7.0,,56,56,103,66,,,,
2018,RO,1100205,,152,4,2,0,2,,,,,160,4,,355,1478,1860,3338,1.0,,,,509,388,,,,
2018,RR,1400100,,155,12,7,2,1,,,,,175,2,432,219,550,644,1194,0.0,22,54,88,375,181,,,,
2018,RS,4314902,,537,13,1,0,33,,,,,584,22,3816,672,8211,2957,11168,5.0,,,,2140,1468,,,,
2018,SC,4205407,,98,1,2,0,22,,,,,123,4,,232,264,525,789,17.0,42,67,109,2161,646,,,,
2018,SE,2800308,,281,8,1,4,54,,,,,344,4,466,151,951,366,1317,15.0,,,147,191,95,,,,
2018,SP,3550308,,723,82,14,29,406,,,,,1225,29,9588,2590,26860,40395,67255,33.0,,1139,1139,8651,1588,,,,
2018,TO,1721000,,65,3,1,0,4,,,,,73,,270,123,192,606,798,5.0,32,23,55,104,45,,,,
2019,AL,2704302,,288,3,2,2,38,,,,,293,10,614,323,602,665,1267,12.0,296,404,700,944,89,,,,
2019,CE,2304400,,636,8,13,2,51,,,,,708,6,2443,604,2741,2582,5323,7.0,,,,3301,1104,,,,
2019,DF,5300108,,422,25,6,0,8,,,,,461,32,3160,762,3425,5137,8562,1.0,244,578,997,2597,5576,,,,
2019,ES,3205309,,73,0,4,0,3,,,,,80,2,126,125,246,595,841,3.0,5,80,85,524,187,,,,
2019,GO,5208707,,265,4,16,0,135,,,,,420,1,1633,501,1024,2393,3417,32.0,,271,453,1488,3460,,,,
2019,MA,2111300,,204,24,3,0,33,,,,,264,8,2091,275,1158,748,1906,12.0,,249,249,933,680,,,,
2019,MT,5103403,,94,5,0,0,17,,,,,99,0,,292,986,1040,2026,17.0,81,137,218,754,410,,,,
2019,PA,1501402,,329,16,4,10,107,,,,,456,4,1704,354,800,1007,1807,23.0,45,62,107,997,325,,,,
2019,PB,2507507,,184,6,2,1,9,,,,,192,5,909,27,970,485,1455,4.0,92,263,355,317,142,,,,
2019,PE,2611606,,457,22,4,1,10,,,,,483,8,1843,431,3061,1485,4546,2.0,105,206,311,1897,729,,,,
2019,PI,2211001,,224,14,4,1,21,,,,,242,5,1153,259,3305,1809,5114,8.0,83,249,332,492,163,,,,
2019,PR,4106902,,245,9,5,0,79,,,,,338,3,2225,1091,2090,4777,6867,23.0,173,144,317,1572,3458,,,,
2019,SC,4205407,,61,0,0,0,9,,,,,70,1,,218,203,463,666,12.0,36,45,81,1538,1279,,,,
2019,SE,2800308,,170,2,0,0,37,,,,,209,3,293,206,621,348,969,17.0,,,208,468,187,,,,
2019,BA,2927408,,987,18,13,3,157,,,,,1175,13,2838,608,4926,1228,6154,13.0,38,157,195,1791,1386,,,,
2019,MG,3106200,,367,8,7,0,10,,,,,382,17,7744,653,1530,5123,6653,2.0,224,238,610,5288,2648,,,,
2019,MS,5002704,,86,3,4,0,13,,,,,93,5,1349,673,296,2113,2409,13.0,,137,215,1291,573,,,,
2019,RJ,3304557,,1134,34,19,19,726,,,,,1913,21,8966,1726,18466,6862,25328,37.0,,,819,2266,1271,,,,
2019,RN,2408102,,178,18,24,6,60,,,,,220,3,174,171,2713,481,3194,27.0,17,81,98,291,89,,,,
2019,RS,4314902,,322,12,1,3,22,,,,,357,6,3513,665,4747,2812,7559,6.0,1131,1847,2978,2329,1708,,,,
2019,SP,3550308,,685,66,22,21,402,,,,,1175,44,11403,2663,21229,37331,58560,34.0,,1141,1141,7869,1580,,,,
2019,TO,1721000,,59,7,2,0,7,,,,,75,1,593,114,166,597,763,9.0,38,37,75,217,64,,,,
2019,AC,1200401,,171,4,0,0,12,,,,,175,4,115,182,738,515,1253,6.0,,,57,139,0,,,,
2019,AM,1302603,,838,40,21,4,85,,,,,984,12,2505,855,2438,1972,4410,8.0,337,236,573,2305,525,,,,
2019,AP,1600303,,203,10,23,1,89,,,,,325,5,384,336,655,734,1389,27.0,23,91,114,467,82,,,,
2019,RO,1100205,,105,7,0,0,7,,,,,119,1,1249,345,1943,1991,3934,5.0,80,231,311,570,238,,,,
2019,RR,1400100,,124,15,7,,0,,,,,146,5,515,222,468,603,1071,,,31,40,354,203,,,,
